"CURSO","ATIVO","ATIVO - FORMANDO","TRANCADO"
BACHARELADO EM ADMINISTRAÇÃO,340,9,6
BACHARELADO EM ADMINISTRAÇÃO - UAST,221,3,0
BACHARELADO EM AGROECOLOGIA,82,0,1
BACHARELADO EM AGRONOMIA,424,4,4
BACHARELADO EM AGRONOMIA - UAST,243,2,1
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,400,4,11
BACHARELADO EM CIÊNCIAS BIOLÓGICAS,325,1,3
BACHARELADO EM CIÊNCIAS BIOLÓGICAS - UAST,198,9,0
BACHARELADO EM CIÊNCIAS DO CONSUMO,249,3,1
BACHARELADO EM CIÊNCIAS ECONÔMICAS,304,2,2
BACHARELADO EM CIÊNCIAS ECONÔMICAS - UAST,206,0,0
BACHARELADO EM CIÊNCIAS SOCIAIS,285,5,6
BACHARELADO EM ECONOMIA DOMÉSTICA,1,3,0
BACHARELADO EM ENGENHARIA AGRICOLA E AMBIENTAL,250,7,0
BACHARELADO EM ENGENHARIA AMBIENTAL,192,0,2
BACHARELADO EM ENGENHARIA CIVIL-UACSA,377,0,2
BACHARELADO EM ENGENHARIA DA COMPUTAÇÃO - UABJ,164,0,0
BACHARELADO EM ENGENHARIA DE CONTROLE E AUTOMAÇÃO - UABJ,126,0,1
BACHARELADO EM ENGENHARIA DE MATERIAIS - UACSA,312,1,3
BACHARELADO EM ENGENHARIA DE PESCA,227,9,0
BACHARELADO EM ENGENHARIA DE PESCA - UAST,134,3,0
BACHARELADO EM ENGENHARIA ELÉTRICA - UACSA,394,3,1
BACHARELADO EM ENGENHARIA ELETRÔNICA - UACSA,410,1,2
BACHARELADO EM ENGENHARIA FLORESTAL,289,5,2
BACHARELADO EM ENGENHARIA HÍDRICA - UABJ,89,0,1
BACHARELADO EM ENGENHARIA MECÂNICA - UACSA,400,4,0
BACHARELADO EM ENGENHARIA QUÍMICA - UABJ,118,0,2
BACHARELADO EM GASTRONOMIA,229,6,9
BACHARELADO EM MEDICINA VETERINÁRIA,537,18,4
BACHARELADO EM SISTEMAS DE INFORMAÇÃO,397,6,10
BACHARELADO EM SISTEMAS DE INFORMAÇÃO - UAST,270,0,0
BACHARELADO EM ZOOTECNIA,301,6,1
BACHARELADO EM ZOOTECNIA - UAST,183,4,2
LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,617,29,1
LICENCIATURA EM COMPUTAÇÃO,332,0,1
LICENCIATURA EM EDUCAÇÃO FÍSICA,292,5,2
LICENCIATURA EM FÍSICA,241,4,1
LICENCIATURA EM HISTÓRIA,380,0,1
LICENCIATURA EM LETRAS - PORTUGUÊS E ESPANHOL,376,1,0
LICENCIATURA EM LETRAS - PORTUGUÊS E INGLÊS-UAST,275,4,2
LICENCIATURA EM MATEMÁTICA,470,2,8
LICENCIATURA EM PEDAGOGIA,234,0,0
LICENCIATURA EM QUÍMICA,426,14,2
LICENCIATURA EM QUÍMICA - UAST,220,3,0
TECNOLÓGICO EM AQUICULTURA,62,0,1
